"TEAM","GP","W","L","ERA","IP","ER","R","BB","SO","BAA","IperG"
"ARI","154","25","17","3.88","471.0","203","227","181","465",".240",3.01923076923077
"ATL","154","25","16","4.62","502.2","258","273","212","475",".243",3.26103896103896
"BAL","156","30","18","3.84","576.1","246","270","216","491",".252",3.66942675159236
"BOS","150","29","14","3.02","497.2","167","178","166","543",".223",3.20774193548387
"CHC","153","26","22","3.89","527.2","228","244","249","587",".224",3.40129032258065
"CHW","155","27","20","4.43","523.2","258","272","228","490",".246",3.37548387096774
"CIN","154","24","20","4.66","589.2","305","322","267","571",".249",3.77692307692308
"CLE","149","20","20","2.84","468.1","148","166","145","519",".225",3.00064102564103
"COL","155","24","18","4.34","530.2","256","272","200","535",".251",3.39871794871795
"DET","154","17","27","5.66","510.2","321","340","231","452",".284",3.27051282051282
"HOU","154","30","22","4.43","522.0","257","270","204","630",".237",3.36774193548387
"KCR","154","27","24","4.22","545.1","256","282","231","483",".252",3.51677419354839
"LAA","154","35","21","3.86","543.1","233","244","160","574",".239",3.50387096774194
"LAD","154","30","19","3.43","534.2","204","211","174","605",".221",3.42435897435897
"MIA","154","29","29","4.36","584.0","283","303","255","538",".258",3.76774193548387
"MIL","155","25","35","3.86","547.1","235","256","260","585",".241",3.50705128205128
"MIN","150","22","19","4.46","538.1","267","286","181","456",".262",3.44935897435897
"NYM","153","19","27","4.76","539.0","285","302","254","565",".261",3.47741935483871
"NYY","153","29","23","3.40","516.0","195","209","214","625",".208",3.32903225806452
"OAK","154","22","26","4.60","528.1","270","293","197","506",".249",3.40709677419355
"PHI","155","22","33","4.30","525.2","251","268","212","515",".256",3.36666666666667
"PIT","154","25","27","3.87","521.1","224","244","204","475",".248",3.34038461538462
"SDP","154","25","28","4.42","533.1","262","284","194","568",".235",3.41730769230769
"SFG","153","21","23","4.38","471.0","229","247","209","434",".259",3.01923076923077
"SEA","155","29","28","4.03","549.0","246","275","204","524",".244",3.51923076923077
"STL","152","20","28","3.91","499.0","217","233","171","497",".250",3.21935483870968
"TBR","156","26","31","3.83","518.2","221","240","192","480",".236",3.32179487179487
"TEX","153","22","25","4.65","485.2","251","282","221","439",".266",3.13032258064516
"TOR","154","28","26","4.25","574.0","271","293","207","606",".242",3.67948717948718
"WSN","152","24","17","4.39","449.1","219","230","151","420",".257",2.89741935483871
