"AwayTeam","HomeTeam","AwayP","HomeP","Away538Pct","Home538Pct"
"KCR","NYY","Jakob Junis","CC Sabathia",38,62
"ATL","NYM","Lucas Sims","Christopher Flexen",51,49
"WSN","PHI","A.J. Cole","Aaron Nola",52,48
"TOR","BOS","Brett Anderson","Drew Pomeranz",32,68
"ATL","NYM","Max Fried","Seth Lugo",47,53
"HOU","TEX","Collin McHugh","Andrew Cashner",53,47
"LAA","CHW","Ricky Nolasco","James Shields",54,46
"CHC","STL","Jon Lester","Luke Weaver",46,54
"MIA","COL","Odrisamer Despaigne","Tyler Chatwood",43,57
"SFG","ARI","Johnny Cueto","Zack Godley",36,64
"SEA","OAK","Felix Hernandez","Daniel Gossett",50,50
"SDP","LAD","Travis Wood","Yu Darvish",28,72
