"AwayTeam","HomeTeam","AwayP","HomeP","Time","Surface","AwayOdds","HomeOdds","Winner","Rundiff","HomeWin"
"TOR","NYY","Joe Biagini","Masahiro Tanaka","Day","Grass",200,-240,"NYY",4,TRUE
"CIN","CHC","Robert Stephenson","Jose Quintana","Day","Grass",160,-175,"CHC",1,TRUE
"PIT","WSN","Gerrit Cole","Stephen Strasburg","Night","Grass",165,-185,"WSN",5,TRUE
"NYM","PHI","Matt Harvey","Ben Lively","Night","Grass",125,-135,"PHI",4,TRUE
"HOU","BOS","Charlie Morton","Doug Fister","Night","Grass",-112,102,"HOU",-1,FALSE
"CHW","CLE","Mike Pelfrey","Trevor Bauer","Night","Grass",250,-300,"CLE",9,TRUE
"BAL","TBR","Wade Miley","Jake Odorizzi","Night","Turf",132,-142,"TBR",7,TRUE
"ATL","MIA","Luiz Gohara","Dan Straily","Night","Grass",150,-160,"MIA",1,TRUE
"OAK","TEX","Raul Alcantara","Martin Perez","Night","Grass",110,-120,"TEX",2,TRUE
"DET","MIN","Matt Boyd","Kyle Gibson","Night","Grass",155,-170,"MIN",3,TRUE
"LAD","COL","Hyun-Jin Ryu","Chad Bettis","Night","Grass",-108,-102,"COL",8,TRUE
"MIL","STL","Chase Anderson","John Gant","Night","Grass",-130,120,"MIL",-2,FALSE
"ARI","KCR","Zack Greinke","Ian Kennedy","Night","Grass",-148,138,"KCR",1,TRUE
"SEA","LAA","Marco Gonzales","Tyler Skaggs","Night","Grass",150,-160,"LAA",1,TRUE
"SDP","SFG","Jordan Lyles","Chris Stratton","Night","Grass",120,-130,"SFG",8,TRUE
